0.52423   ,0         ,0.0012805 ,0.27727   ,0.19722
0.47763   ,0         ,0         ,0.33761   ,0.18476
0.38996   ,0         ,0.0032506 ,0.40226   ,0.20453
0.40182   ,0         ,0.0001461 ,0.38347   ,0.21456
0.47581   ,0         ,0.00056223,0.37688   ,0.14674
0.49986   ,0         ,0.00033879,0.35109   ,0.14871
0.48417   ,0         ,0.00011045,0.37109   ,0.14463
0.46627   ,0         ,0.0001742 ,0.37739   ,0.15616
0.44378   ,0         ,0.00031057,0.40824   ,0.14766
0.43766   ,0         ,0.00061038,0.38311   ,0.17862
0.39037   ,0.00017356,0.0034621 ,0.43843   ,0.16756
0.44912   ,0         ,0.0016752 ,0.42262   ,0.12659
0.46057   ,0         ,0.00063387,0.42457   ,0.11423
0.44839   ,0.00010038,0.00095357,0.42176   ,0.1288
0.44203   ,0.00013137,0.00081742,0.44264   ,0.11438
0.44961   ,0         ,2.3586e-05,0.43441   ,0.11596
0.44368   ,0         ,0.00040623,0.44683   ,0.10908
0.45263   ,0         ,8.9885e-05,0.43419   ,0.11309
0.44445   ,2.3739e-05,0.00043521,0.46009   ,0.094995
0.45035   ,0         ,6.7563e-05,0.43674   ,0.11284
0.45837   ,0         ,0.00062835,0.44199   ,0.099017
0.4754    ,0         ,0.00051379,0.41507   ,0.10901
0.45196   ,0         ,0.0011296 ,0.44112   ,0.10579
0.45864   ,8.0028e-06,0.00065623,0.43554   ,0.10516
0.46466   ,0         ,0.00022264,0.45429   ,0.080833
0.42116   ,0         ,2.3055e-05,0.46341   ,0.1154
0.44384   ,0         ,0.00053467,0.46151   ,0.094117
0.51647   ,0         ,0.00033868,0.37782   ,0.10537
0.54497   ,0         ,0.00024021,0.36016   ,0.094629
0.53985   ,0         ,9.6595e-05,0.35871   ,0.10134
0.51431   ,7.2763e-06,0.00030561,0.396     ,0.089375
0.5223    ,0         ,0         ,0.37114   ,0.10656
0.52985   ,0         ,0.0004557 ,0.36815   ,0.10154
0.47837   ,0         ,0.00026075,0.3876    ,0.13377
0.55442   ,0         ,0.00073628,0.32302   ,0.12182
0.47695   ,0         ,5.3141e-05,0.3744    ,0.1486
0.50819   ,0         ,0.00071824,0.3827    ,0.10839
0.54668   ,0         ,0.0002951 ,0.36147   ,0.091553
0.5075    ,0         ,0.00012411,0.37569   ,0.11668
0.51928   ,0         ,0.00073653,0.37223   ,0.10775
0.47123   ,0         ,0.00051233,0.40305   ,0.12521
0.4481    ,0         ,0.00038859,0.42885   ,0.12266
0.37882   ,0         ,6.5201e-05,0.46731   ,0.15381
0.35649   ,0         ,5.3367e-05,0.48664   ,0.15682
0.38721   ,9.7197e-06,2.9159e-05,0.46953   ,0.14322
0.39296   ,0         ,0         ,0.44369   ,0.16335
0.38064   ,0         ,2.8479e-05,0.4518    ,0.16754
